Período;Região ;Entidade ;Localização Geográfica;Grupo Sanguíneo;Reservas
2014-12;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.39926;Total;291.662
2015-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;82.0
2015-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;Total;406.0
2015-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;Total;64.0
2015-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;Total;1520.0
2015-01;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.39926;Total;306.558
2015-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;Total;328.0
2015-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;Total;118.0
2015-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;415.0
2015-03;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;Total;4818.0
2015-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;76.0
2015-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;Total;276.0
2015-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;435.0
2015-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;Total;298.0
2015-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;121.0
2015-03;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;Total;116.0
2015-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;313.0
2015-03;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;580.0
2015-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;Total;
2015-03;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.39926;Total;307.147
2015-04;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;Total;5099.0
2015-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;80.0
2015-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;Total;303.0
2015-04;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;Total;66.0
2015-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;Total;126.0
2015-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;502.0
2015-05;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;Total;65.0
2015-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;Total;81.0
2015-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;Total;1561.0
2015-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;Total;736.4
2015-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;513.0
2015-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;Total;769.0
2015-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;483.0
2015-06;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;Total;426.0
2015-06;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.39926;Total;293.704
2015-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;Total;
2015-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;78.0
2015-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;492.0
2015-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;167.0
2015-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;Total;61.0
2015-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;474.0
2015-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;Total;545.0
2015-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;Total;313.0
2015-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;Total;559.0
2015-11;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;Total;289.0
2015-11;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;162.0
2015-11;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;Total;1277.0
2015-11;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;Total;61.0
2015-11;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;Total;518.0
2015-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;538.0
2015-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;160.0
2015-12;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;Total;145.0
2015-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;Total;
2015-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;634.0
2016-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;Total;472.0
2016-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;160.0
2016-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;Total;878.0
2016-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;Total;
2016-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;Total;133.0
2016-02;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;Total;200.0
2016-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;Total;
2016-02;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;458.0
2016-03;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;Total;177.0
2016-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;Total;801.0
2016-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;Total;445.0
2016-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;Total;128.0
2016-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;361.0
2016-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;Total;1776.0
2016-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;Total;814.0
2016-04;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;558.0
2016-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;Total;329.0
2016-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;Total;497.0
2016-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;Total;214.0
2016-05;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;312.0
2016-05;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;Total;581.0
2016-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;Total;414.0
2016-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;88.0
2016-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;Total;411.0
2016-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;170.0
2016-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;Total;800.0
2016-06;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;Total;726.1
2016-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;70.0
2016-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;Total;324.0
2016-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;209.0
2016-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;Total;58.0
2016-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;66.0
2016-08;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;Total;155.0
2016-08;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;Total;
2016-08;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;Total;789.6
2016-09;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;A-;364.0
2016-09;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;B+;442.0
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;A+;12.0
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;AB+;1.0
2016-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;B-;4.0
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;77.0
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;O-;11.0
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;O+;44.0
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;A-;15.0
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;B-;2.0
2016-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;Total;433.0
2016-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;A-;48.0
2016-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;B-;11.0
2016-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;AB-;3.0
2016-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;B+;11.0
2016-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;AB-;6.0
2016-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;O+;83.8
2016-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;A+;23.0
2016-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;B-;4.0
2016-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;B+;9.0
2016-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;AB-;1.0
2016-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;Total;368.433333333
2016-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;AB-;1.56666666667
2016-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;O-;37.0
2016-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;A-;30.0
2016-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;B+;9.0
2016-09;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;AB+;1.7
2016-09;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;B+;13.0
2016-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;B+;26.0
2016-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;A+;52.0
2016-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;B+;8.0
2016-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;AB+;8.0
2016-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;A-;13.7333333333
2016-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;A+;41.9
2016-09;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;B+;1.63333333333
2016-09;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;AB-;2.0
2016-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;A+;245.0
2016-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;B-;11.0
2016-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;AB+;48.0
2016-09;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;A+;70.0
2016-09;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;AB-;0.0
2016-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;B+;7.0
2016-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;AB+;
2016-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;A+;
2016-09;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;A-;
2016-09;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;B+;
2016-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;Total;59.1333333333
2016-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;A-;8.43333333333
2016-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;B-;0.4
2016-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;AB+;0.0
2016-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;O+;26.7333333333
2016-09;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;A+;
2016-09;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;O-;68.0
2016-09;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;A-;78.0
2016-09;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;B-;7.0
2016-09;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;AB-;8.0
2016-09;Região de Saúde Norte;Centro Hospitalar entre Douro e Vouga, EPE;40.9293884,-8.5458794;O+;56.6
2016-09;Região de Saúde Norte;Centro Hospitalar entre Douro e Vouga, EPE;40.9293884,-8.5458794;AB-;4.8
2016-09;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;A-;0.4
2016-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;A-;57.0
2016-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;B+;39.0
2016-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;AB-;11.0
2016-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;AB+;18.0
2016-09;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;O+;50.0
2016-09;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;A-;30.0
2016-09;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;A-;5.93333333333
2016-09;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;B+;2.4
2016-09;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;AB+;0.8
2016-09;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;O-;81.0
2016-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;Total;109.133333333
2016-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;B+;0.266666666667
2016-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;O-;15.7333333333
2016-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;A-;12.3
2016-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;AB-;0.0
2016-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;A-;
2016-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;AB+;
2016-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;Total;110.0
2016-09;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;O-;
2016-09;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;A-;
2016-09;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;B+;
2016-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;Total;55.1333333333
2016-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;A-;5.76666666667
2016-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;A+;19.5
2016-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;AB+;0.733333333333
2016-09;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;AB+;
2016-10;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;O+;1961.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;Total;55.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;O+;26.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;A+;13.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;B+;2.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;AB+;1.0
2016-10;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;Total;248.0
2016-10;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;AB+;16.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;O+;28.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;A-;3.0
2016-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;A-;39.0
2016-10;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;O-;51.0
2016-10;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;O-;17.0
2016-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;O+;156.0
2016-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;A-;45.0
2016-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;A+;27.0
2016-10;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;O-;33.0
2016-10;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;A+;115.0
2016-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;Total;565.0
2016-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;AB+;15.0
2016-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;156.0
2016-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;A+;47.0
2016-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;AB+;9.0
2016-10;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;B+;6.8
2016-10;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;AB+;4.22
2016-10;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;O+;76.0
2016-10;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;144.0
2016-10;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;B-;7.0
2016-10;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;O+;673.0
2016-10;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;A+;731.0
2016-10;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;Total;610.0
2016-10;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;A-;11.0
2016-10;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;B-;2.0
2016-10;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;B-;7.3
2016-10;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;AB-;3.15
2016-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;O-;
2016-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;A-;
2016-10;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;O+;46.19
2016-10;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;O-;
2016-10;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;A-;
2016-10;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;O+;15.0
2016-10;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;A-;6.0
2016-10;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;B-;0.0
